Ref;Val;Package;PosX;PosY;Rot;Side
C6;10uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;131.673600;-82.778600;180.000000;bottom
C8;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;136.008000;-89.357200;180.000000;bottom
C9;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;139.192000;-85.639800;270.000000;bottom
C10;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;117.932200;-82.499200;270.000000;bottom
C12;1nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;115.849400;-81.584800;270.000000;bottom
C13;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;116.339601;-66.741040;0.000000;bottom
C14;1nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;116.339601;-68.773040;0.000000;bottom
C18;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;112.375653;-88.973280;180.000000;bottom
C19;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;108.686600;-91.770200;270.000000;bottom
C24;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;103.682800;-71.348600;90.000000;bottom
C25;28pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;122.571400;-72.390000;180.000000;bottom
C26;28pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;122.487800;-78.689200;0.000000;bottom
IC1;PIC32MM0256GPM028-I_ML;QFN65P600X600X100-29N-D;115.272801;-73.751440;180.000000;bottom
IC5;L86-M33;L80-M39;129.946400;-64.560800;270.000000;bottom
J4;USB_B_Micro;DX4R005HJ5;106.527600;-67.056000;0.000000;bottom
Q2;BC847BW,115;SOT-323_SC-70;111.556800;-83.540600;270.000000;bottom
R4;602ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;103.886000;-77.419200;270.000000;bottom
R6;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;129.844800;-88.112600;180.000000;bottom
R9;47kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;108.940600;-82.083800;270.000000;bottom
R19;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;125.349000;-78.206600;270.000000;bottom
R20;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;125.755400;-74.235200;270.000000;bottom
Y1;ABM8G-48.000MHZ-18-D2Y-T;ABM8G48000MHZ18D2YT;122.504200;-75.539600;270.000000;bottom
C1;1uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;127.676800;-69.519800;0.000000;top
C2;33pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;122.596800;-67.741800;180.000000;top
C3;33pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;123.545600;-64.795400;90.000000;top
C4;33pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;133.578600;-65.506600;270.000000;top
C5;100uF;CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder;106.984800;-77.190600;270.000000;top
C7;1uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;153.644600;-77.063600;0.000000;top
C11;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;142.087600;-67.758200;270.000000;top
C15;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;148.005800;-81.762600;270.000000;top
C16;4.7uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;154.660600;-81.965800;270.000000;top
C17;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;145.364200;-71.094600;180.000000;top
C22;10uF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;109.524800;-73.456800;180.000000;top
C23;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;103.911400;-76.809600;90.000000;top
C27;33pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;112.496600;-77.562600;270.000000;top
C28;100nF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;110.439200;-77.562600;270.000000;top
C29;10pF;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;114.554000;-77.546200;270.000000;top
D1;LED_Small;LED_0805_2012Metric;150.672800;-84.886800;180.000000;top
D2;LED_Small;LED_0805_2012Metric;155.244800;-87.655400;0.000000;top
D3;LED_Small;LED_0805_2012Metric;157.518100;-74.864200;90.000000;top
IC2;BQ24072TRGTT;QFN-16-1EP_3x3mm_P0.5mm_EP2.7x2.7mm_ThermalVias;151.331400;-80.353600;0.000000;top
J1;MS-156HF;MS156HF;113.206840;-85.608160;90.000000;top
J5;Conn_Coaxial;U.FL_Hirose_U.FL-R-SMT-1_Vertical;105.206800;-82.169000;0.000000;top
R1;R_Small;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;109.423200;-86.944200;90.000000;top
R2;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;106.375200;-85.750400;180.000000;top
R3;R_Small;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;103.378000;-86.766400;270.000000;top
R5;10kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;105.664000;-70.967600;0.000000;top
R7;1.9kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;157.492700;-71.116300;90.000000;top
R8;10kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;108.915200;-81.407000;90.000000;top
R10;200kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;145.491200;-78.486000;0.000000;top
R11;49.9kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;145.491200;-76.428600;0.000000;top
R12;1.5kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;150.672800;-87.020400;0.000000;top
R13;NP;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;156.286200;-79.070200;180.000000;top
R14;909 ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;148.437600;-74.946400;270.000000;top
R15;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;150.520400;-74.997200;270.000000;top
R16;1.5kOhm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;155.676600;-85.501480;180.000000;top
R21;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;138.684000;-69.469000;0.000000;top
R22;0ohm;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;134.772400;-69.418200;0.000000;top
U3;MFF2_E_SIM;DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm;128.344800;-65.524000;180.000000;top
